UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
𝙼𝚒𝚌𝚊𝚑 𝚆𝚒𝚗𝚔𝚎𝚕𝚜𝚙𝚎𝚌𝚑𝚝 ∞/𝟸𝟷𝙼,@winkelspecht,2015-04-01T22:33:15.000Z,"𝙼𝚒𝚌𝚊𝚑 𝚆𝚒𝚗𝚔𝚎𝚕𝚜𝚙𝚎𝚌𝚑𝚝 ∞/𝟸𝟷𝙼
@winkelspecht
·
2 Apr 2015","Where we're going, we don't need cards. 
@gemhq
 #bitcoin #transact15 #usaepaytime
2
2
4",,2,2,4,['https://pbs.twimg.com/media/CBikPUTVIAEaOu2?format=jpg&name=small'],https://twitter.com/winkelspecht/status/583396734946025472
The Daily Beast,@thedailybeast,2015-04-01T20:51:04.000Z,"The Daily Beast
@thedailybeast
·
2 Apr 2015","Rogue U.S. agents allegedly took down the world's largest Bitcoin exchange. http://thebea.st/1xVA5Oe
The following media includes potentially sensitive content. Change settings
View
19
8",,,19,8,[],https://twitter.com/thedailybeast/status/583371021866139648
SB Nation,@SBNation,2015-04-01T23:16:11.000Z,"SB Nation
@SBNation
·
2 Apr 2015","After just one season, the Bitcoin Bowl is reportedly no more http://sbnation.com/2015/4/1/8328133/bitcoin-st-petersburg-bowl-beef-o-bradys…
6
14
12",,6,14,12,['https://pbs.twimg.com/media/CBiuCv5UgAAW-W0?format=png&name=240x240'],https://twitter.com/SBNation/status/583407540098195456
Skutch,@1constitution,2015-04-01T22:31:31.000Z,"Skutch
@1constitution
·
2 Apr 2015","Collective ♪♫ Change
http://skutch.com.au/Change.mp3 
#crowfunding #bitcoin #socialmedia #indiemusic #comedy #Aquarius #Lunaeclipse
1
2",,,1,2,[],https://twitter.com/1constitution/status/583396299610820608
Factom Inc.,@factom,2015-04-01T23:49:34.000Z,"Factom Inc.
@factom
·
2 Apr 2015","You can now purchase Factoids with just one click with our 
@amazon
 dash button: http://goo.gl/5DtfjX #bitcoin
2
11
9",,2,11,9,['https://pbs.twimg.com/media/CBi1tRPUMAE_H34?format=png&name=small'],https://twitter.com/factom/status/583415941951795200
Michael Gord,@MetaGord,2015-04-01T23:02:55.000Z,"Michael Gord
@MetaGord
·
2 Apr 2015","The 
@McGillU
 chapter of 
@MakeAWishCA
 now accept donation in #bitcoin 
@BitPay
2
3",,,2,3,['https://pbs.twimg.com/media/CBirB0IUAAI2RrQ?format=png&name=240x240'],https://twitter.com/MetaGord/status/583404200123617280
Bitcoin Canada,@CanadaBitcoin,2015-04-01T23:22:05.000Z,"Bitcoin Canada
@CanadaBitcoin
·
2 Apr 2015","We might bring a #BitcoinATM to Blue Dog's #bitcoin launch event in #Montreal --- > http://on.fb.me/1BBnUBl
2
1",,,2,1,[],https://twitter.com/CanadaBitcoin/status/583409024076513280
thebitcoinshark,@thebitcoinshark,2015-04-01T23:16:16.000Z,"thebitcoinshark
@thebitcoinshark
·
2 Apr 2015","Bitcoin Trading Testing 1500 Chinese Yuan (CNY) http://bit.ly/1FiWNzw #BitcoinAnalysis #BitcoinTrading #News
1",,,1,,[],https://twitter.com/thebitcoinshark/status/583407560029409280
bitbaby,@thebitbaby,2015-04-01T23:08:50.000Z,"bitbaby
@thebitbaby
·
2 Apr 2015","#Free 0.2 #BTC #Poker Tournament at https://bitcoinpoker.gg on Thursday April 2nd, 2015 at 7:00PM EST

Hurry up and register!! #Bitcoin
1
2",,,1,2,[],https://twitter.com/thebitbaby/status/583405691441782785
Romano,@RNR_0,2015-04-01T21:46:06.000Z,"Romano
@RNR_0
·
2 Apr 2015","starting a new project.
I'm creating something to log all your Forex&Bitcoin Traders
For now you can calcuculate pips
http://instasaver.net/forex
3
8
7",,3,8,7,[],https://twitter.com/RNR_0/status/583384871650902018
M1SHO,@in7ane7,2015-04-01T23:36:05.000Z,"M1SHO
@in7ane7
·
2 Apr 2015","#bitcoin #dump #rekt  The dump is near !
2
1
2",,2,1,2,[],https://twitter.com/in7ane7/status/583412546763362306
Matthew John Ritchie,@OpenECommunity,2015-04-01T22:59:17.000Z,"Matthew John Ritchie
@OpenECommunity
·
2 Apr 2015","#fintech what service would you want to provide?

P2P Lending/Savings
Insurance
#Bitcoin Current Acc
Cooperative Whole Life Business Acc
6
2",,,6,2,[],https://twitter.com/OpenECommunity/status/583403285454925825
The Time Machine,@MachineBlock33,2015-04-01T23:40:12.000Z,"The Time Machine
@MachineBlock33
·
2 Apr 2015","These faucets pay all day 

http://forum.bleutrade.com/index.php/topic,517.msg902.html#msg902…  
#bitcoin #crypto 
2",✨ ⚜ ✨ 💰 💰 💰 🎉 🎉 🎉 💰 💥 👈 ⏰ 💰 ❤,,2,,[],https://twitter.com/MachineBlock33/status/583413583326945280
CoinLook,@CoinLook,2015-04-01T23:42:06.000Z,"CoinLook
@CoinLook
·
2 Apr 2015","Treasury Report: UK's Bitcoin Startups React – CoinDesk http://ift.tt/1MC5A6k #Bitcoin
4
2",,,4,2,[],https://twitter.com/CoinLook/status/583414063427903490
Bitcoin España,@Bitcoin_Spain,2015-04-01T22:28:24.000Z,"Bitcoin España
@Bitcoin_Spain
·
2 Apr 2015","Jerry Brito | Silk Road corruption case shows how law enforcement uses Bitcoin: http://ift.tt/1DwhUzr #bitcoin #btc
2",,,2,,[],https://twitter.com/Bitcoin_Spain/status/583395516664385536
Bitcoin España,@Bitcoin_Spain,2015-04-01T22:28:24.000Z,"Bitcoin España
@Bitcoin_Spain
·
2 Apr 2015","Donating to Snowden is now illegal and the U.S. Government can take all your stuff. - Thanks Obama.: http://ift.tt/1HjU7BX #bitcoin #btc
2",,,2,,[],https://twitter.com/Bitcoin_Spain/status/583395515645169665
FREE MONEY,@FreeBitcoiners,2015-04-01T21:04:32.000Z,"FREE MONEY
@FreeBitcoiners
·
2 Apr 2015","ASIA'S NEW BITCOIN is here! No bans, No mining, & No price manipulation! 
http://utokendealers.com 
@JOSTechnology
 @callboymick
 #bitcoinnews
1
3",,1,3,,[],https://twitter.com/FreeBitcoiners/status/583374409672478720
Mark P. Borman,@MPBorman,2015-04-01T22:17:08.000Z,"Mark P. Borman
@MPBorman
·
2 Apr 2015","3 Methods 4 Simple #Bitcoin Business Accounting http://buff.ly/1NIGcJh 
@BitcoinMagazine
 @dailyfei
 #corpgov #CEO #CFO
1",,,1,,['https://pbs.twimg.com/media/CBigjSAWIAAGyEW?format=jpg&name=900x900'],https://twitter.com/MPBorman/status/583392679838507009
Richard Phillips,@actwealthy1,2015-04-01T22:49:01.000Z,"Richard Phillips
@actwealthy1
·
2 Apr 2015","New Vid outlines emerging hot trend  https://youtu.be/zIOnntXRLjA #bitcoin #ecommerce #ecommerceforum #currency #online #trending #asia #startup
1
1",,,1,1,[],https://twitter.com/actwealthy1/status/583400701985857536
Forex Trading Bots,@FxTradingBot,2015-04-01T22:45:02.000Z,"Forex Trading Bots
@FxTradingBot
·
2 Apr 2015","Smashing #Forex Boundaries.. Trading #Bitcoin automatically! http://bit.ly/VsaPNA #Investing
4",,,4,,[],https://twitter.com/FxTradingBot/status/583399699933077504
Hypercatallax,@hypercatallax,2015-04-01T23:14:07.000Z,"Hypercatallax
@hypercatallax
·
2 Apr 2015","LAW. Rule of law - why Bitcoin needs the state an the state needs Hypercapitalism. https://github.com/skilesare/art_and_democratic_hypercapitalism/blob/master/the_pattern_language/law_rule_of_law.md… #patternlanguage #hypercapitalism
github.com
art_and_democratic_hypercatallaxy/law_rule_of_law.md at master · skilesare/art_and_democratic_hyp...
The repo for the book Art and Democratic Hypercatallaxy by Austin Fatheree - art_and_democratic_hypercatallaxy/law_rule_of_law.md at master · skilesare/art_and_democratic_hypercatallaxy
1
1",,,1,1,[],https://twitter.com/hypercatallax/status/583407020218327041
VeriCoin,@VeriCoin,2015-04-01T22:39:52.000Z,"VeriCoin
@VeriCoin
·
2 Apr 2015","Be sure to tune in to 
@Bitcoin_Rush
 this Friday! 
@effectsToCause
 will be on ""The Open Minute"". May tease a little about PoST. #Crypto $VRC 
6
7",😊,,6,7,[],https://twitter.com/VeriCoin/status/583398403108954112
Ian DeMartino,@IanDeMartino,2015-04-01T23:09:40.000Z,"Ian DeMartino
@IanDeMartino
·
2 Apr 2015","21 Inc Job Board Hints At ‘Internet of Things’ Focus http://miningpool.co.uk/21-inc-job-board-hints-at-internet-of-things-focus/… #bitcoin #IoT
2
1",,,2,1,[],https://twitter.com/IanDeMartino/status/583405900003704832
Anonymous,@YourLocalAnon,2015-04-01T23:05:57.000Z,"Anonymous
@YourLocalAnon
·
2 Apr 2015","Current price of Bitcoin is $247.49.
1
2",,,1,2,[],https://twitter.com/YourLocalAnon/status/583404966620110849
FREE MONEY,@FreeBitcoiners,2015-04-01T22:09:18.000Z,"FREE MONEY
@FreeBitcoiners
·
2 Apr 2015","ASIA'S NEW BITCOIN is here! No bans, No mining, & No price manipulation! 
http://utokendealers.com 
@marco_1191
 @KalishJantzen
 #bitcoinnews
4
1",,,4,1,[],https://twitter.com/FreeBitcoiners/status/583390708368703488
Cash Clamber,@CashClamber,2015-04-01T23:23:16.000Z,"Cash Clamber
@CashClamber
·
2 Apr 2015","No one is a virgin, the world screws us all.  #bitcoin #edtech #womeninbiz
2",,,2,,[],https://twitter.com/CashClamber/status/583409324988456960
Guy Lepage,@guylepage3,2015-04-01T22:25:08.000Z,"Guy Lepage
@guylepage3
·
2 Apr 2015","We're growing.. New office digs! #onename #biggeroffice #office #blockchain #bitcoin #cryptography… https://instagram.com/p/08vDk5DhQp/
5",,,,5,[],https://twitter.com/guylepage3/status/583394694656294912
Josie Roman,@JosieRoman0,2015-04-01T21:54:12.000Z,"Josie Roman
@JosieRoman0
·
2 Apr 2015","Bitcoin might seem mysterious, but it is gaining more legitimacy http://onforb.es/19GI2eU   
@ForbesTech
 #virtualcurrency
5",,,,5,['https://pbs.twimg.com/media/CBiTebvW8AAcvmu?format=jpg&name=small'],https://twitter.com/JosieRoman0/status/583386906638991362
Zohra,@Zohra_1992,2015-04-01T23:36:46.000Z,"Zohra
@Zohra_1992
·
2 Apr 2015","Poisson d'avril hein ? “#Greece Will Adopt The #Bitcoin If #Eurogroup Doesn't Give Us A Deal // Minister Of #Finance  http://greece.greekreporter.com/2015/04/01/yanis-varoufakis-greece-will-adopt-the-bitcoin-if-eurogroup-doesnt-give-us-a-deal/…
2
1",,,2,1,[],https://twitter.com/Zohra_1992/status/583412719405166592
Marc Stock,@marc_stock,2015-04-01T21:35:20.000Z,"Marc Stock
@marc_stock
·
2 Apr 2015","New Bitcoin software SMASHES Forex and Binary Options http://ow.ly/KWIr9  #bitcoin #forex#binaryoptions  #bitcoin #bitcoins
2",,,,2,[],https://twitter.com/marc_stock/status/583382161237139456
CRYPTOCOINTALK,@cryptocointalk,2015-04-01T23:55:57.000Z,"CRYPTOCOINTALK
@cryptocointalk
·
2 Apr 2015","#Bitcoin #Advocates Back Petition for #BitLicense Safe Harbor Provision http://coinde.sk/1Gh5VGu
5",,,5,,[],https://twitter.com/cryptocointalk/status/583417547212648448
ETFereum,@etfereum_,2015-04-01T23:57:25.000Z,"ETFereum
@etfereum_
·
2 Apr 2015","#bitcoin #inglês Executive Order Signed by Barack Obama: 'Blocking the Property of Certain Persons Engaging in Sig… http://ift.tt/1Dq5hYd
1",,,1,,[],https://twitter.com/etfereum_/status/583417918362365952
